"Date","Total Generation (TWh)"
"2008/01",59.082501
"2008/02",55.885424
"2008/03",55.068839
"2008/04",48.248631
"2008/05",45.495615
"2008/06",44.966961
"2008/07",49.424948
"2008/08",48.066719
"2008/09",43.684551
"2008/10",46.570962
"2008/11",48.214813
"2008/12",56.568724
"2009/01",59.539341
"2009/02",51.232146
"2009/03",52.223235
"2009/04",44.174117
"2009/05",43.092495
"2009/06",42.537244
"2009/07",44.943777
"2009/08",46.021395
"2009/09",42.530088
"2009/10",47.357167
"2009/11",46.814279
"2009/12",57.035235
"2010/01",58.679092
"2010/02",51.859976
"2010/03",51.129869
"2010/04",44.237908
"2010/05",42.653259
"2010/06",42.53413
"2010/07",45.298282
"2010/08",43.655176
"2010/09",39.913848
"2010/10",42.988948
"2010/11",47.537822
"2010/12",56.271377
"2011/01",58.717825
"2011/02",52.013676
"2011/03",53.713281
"2011/04",46.647271
"2011/05",45.489643
"2011/06",43.112968
"2011/07",47.874247
"2011/08",47.165459
"2011/09",43.300252
"2011/10",45.060611
"2011/11",47.515941
"2011/12",54.839638
"2012/01",58.104035
"2012/02",51.934746
"2012/03",51.614413
"2012/04",46.417982
"2012/05",45.932634
"2012/06",44.614478
"2012/07",48.825024
"2012/08",48.144767
"2012/09",43.676149
"2012/10",48.163383
"2012/11",51.625924
"2012/12",55.821469
"2013/01",59.931424
"2013/02",53.351007
"2013/03",54.26364
"2013/04",48.104442
"2013/05",46.197094
"2013/06",45.784142
"2013/07",48.848397
"2013/08",48.397125
"2013/09",44.729414
"2013/10",47.727959
"2013/11",52.969116
"2013/12",60.400808
"2014/01",60.251049
"2014/02",53.553403
"2014/03",55.854771
"2014/04",47.648737
"2014/05",45.241004
"2014/06",44.156323
"2014/07",46.71849
"2014/08",47.448094
"2014/09",44.715421
"2014/10",45.033527
"2014/11",51.67913
"2014/12",57.625402
"2015/01",60.976764
"2015/02",55.306305
"2015/03",55.27456
"2015/04",47.738184
"2015/05",44.559705
"2015/06",44.340191
"2015/07",46.765949
"2015/08",46.555243
"2015/09",43.653195
"2015/10",44.733343
"2015/11",48.985388
"2015/12",53.866923
