"Ref_Date","Value"
"2008/01","4627072.0"
"2008/02","4382286.0"
"2008/03","4299961.0"
"2008/04","4753023.0"
"2008/05","5177177.0"
"2008/06","6086379.0"
"2008/07","6678709.0"
"2008/08","5771333.0"
"2008/09","4057785.0"
"2008/10","3546700.0"
"2008/11","3202837.0"
"2008/12","3380412.0"
"2009/01","3915052.0"
"2009/02","3521688.0"
"2009/03","3645506.0"
"2009/04","3281888.0"
"2009/05","4104792.0"
"2009/06","4744612.0"
"2009/07","5483183.0"
"2009/08","5829371.0"
"2009/09","4450843.0"
"2009/10","4676678.0"
"2009/11","3785893.0"
"2009/12","4541894.0"
"2010/01","5237709.0"
"2010/02","4404253.0"
"2010/03","4471359.0"
"2010/04","3842622.0"
"2010/05","3003123.0"
"2010/06","3878827.0"
"2010/07","4262417.0"
"2010/08","3591530.0"
"2010/09","2842323.0"
"2010/10","2402668.0"
"2010/11","2562892.0"
"2010/12","3873172.0"
"2011/01","4241323.0"
"2011/02","3672338.0"
"2011/03","3955549.0"
"2011/04","3788001.0"
"2011/05","4846651.0"
"2011/06","4441849.0"
"2011/07","5960986.0"
"2011/08","5521981.0"
"2011/09","4000875.0"
"2011/10","3577903.0"
"2011/11","3333021.0"
"2011/12","4115586.0"
"2012/01","4078760.0"
"2012/02","3477900.0"
"2012/03","4111313.0"
"2012/04","4922529.0"
"2012/05","5396483.0"
"2012/06","5327151.0"
"2012/07","6601002.0"
"2012/08","6273071.0"
"2012/09","4819873.0"
"2012/10","4272844.0"
"2012/11","4531716.0"
"2012/12","4221758.0"
"2013/01","4829242.0"
"2013/02","4521790.0"
"2013/03","5037927.0"
"2013/04","4558312.0"
"2013/05","5434880.0"
"2013/06","5700809.0"
"2013/07","6315272.0"
"2013/08","6428513.0"
"2013/09","5115295.0"
"2013/10","4763841.0"
"2013/11","4668125.0"
"2013/12","4780263.0"
"2014/01","4853466.0"
"2014/02","3813088.0"
"2014/03","4984556.0"
"2014/04","4191107.0"
"2014/05","4792665.0"
"2014/06","4885078.0"
"2014/07","5696365.0"
"2014/08","6067686.0"
"2014/09","5429566.0"
"2014/10","3823724.0"
"2014/11","4902228.0"
"2014/12","5355157.0"
"2015/01","5424706.0"
"2015/02","4953426.0"
"2015/03","6012486.0"
"2015/04","5785970.0"
"2015/05","5920650.0"
"2015/06","5925959.0"
"2015/07","6121143.0"
"2015/08","6179551.0"
"2015/09","5834924.0"
"2015/10","4580981.0"
"2015/11","5168630.0"
"2015/12","5188578.0"
